ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
AVANTIFEED.NS,AVANTI FEEDS LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,ok
GAEL.NS,GUJARAT AGRO INDUSTRIES LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
GODFRYPHLP.NS,GODFREY PHILLIPS INDIA LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,ok
GODREJAGRO.NS,GODREJ AGROVET LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,ok
KSCL.NS,KAVERI SEED COMPANY LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
RENUKA.NS,SHREE RENUKA SUGARS LIMITED,AGRICULTURE,FMCG,mismatch,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,ok
APARINDS.NS,APOLLO PIPES LIMITED,AUTO COMPONENTS,INDUSTRIAL,mismatch,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,ok
HBLENGINE.NS,HBL ENGINEERING LIMITED,AUTO COMPONENTS,INDUSTRIAL,mismatch,Industrials,Capital Goods,Industrial Products,Other Industrial Products,ok
ARE&M.NS,AMARA RAJA ENERGY & MOBILITY LIMITED,AUTOMOBILE,AUTO COMPONENTS,mismatch,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
ASHOKLEY.NS,ASHOK LEYLAND LTD,AUTOMOBILE,INDUSTRIAL,mismatch,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,ok
ESCORTS.NS,ESCORTS LIMITED,AUTOMOBILE,INDUSTRIAL,mismatch,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,ok
GREAVESCOT.NS,GREAVES COTTON LIMITED,AUTOMOBILE,INDUSTRIAL,mismatch,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
INDIGO.NS,INTERGLOBE AVIATION LIMITED,AVIATION,CONSUMER SERVICES,mismatch,Services,Services,Transport Services,Airline,ok
JWL.NS,JET AIRWAYS (INDIA) LIMITED,AVIATION,INDUSTRIAL,mismatch,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons,ok
